additionalrooms,age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,carpetarea,facing,floor,locality,neworold,opensides,overlooking,ownership,possesiondate,price,pricepersquare,projectname,roadfaceing,status,totalfloor,property_type,transaction_type
2,6,4,1,1849,2,4,4,1763,South,2 out of 10,NIBM,Old,2,Main Road,Leasehold,2020-07-03,129430,70,Kline PLC,Yes,Under Construction,9,Villa,Rent
2,3,2,0,1002,1,1,1,925,West,5 out of 12,NIBM,New,3,Park,Freehold,2022-04-06,54108,54,Yates Group,No,Under Construction,4,Apartment,Rent
0,7,4,1,957,2,4,4,933,South,Ground,Magarpatta,New,3,Garden,Leasehold,2021-12-16,69861,73,"Roach, Gomez and Flores",No,Ready to Move,9,Apartment,Sale
1,5,1,2,1027,1,1,1,992,West,2 out of 10,Hadapsar,New,2,Main Road,Freehold,2020-03-23,102700,100,Stewart-Wang,Yes,Ready to Move,1,Villa,Sale
1,7,1,0,524,0,1,1,429,West,5 out of 12,Wagholi,New,3,Main Road,Freehold,2024-04-04,58688,112,Pruitt Group,No,Ready to Move,5,Apartment,Rent
0,9,5,0,1783,1,1,1,1699,South,1 out of 5,Hadapsar,New,2,Main Road,Leasehold,2020-12-05,124810,70,"Harris, Bradley and Lewis",Yes,Ready to Move,2,Villa,Sale
2,8,1,1,1256,3,2,2,1187,South,Ground,Bhekrai Nagar,New,1,Main Road,Freehold,2021-01-14,76616,61,"Garcia, Lewis and Cowan",No,Under Construction,4,Row House,Sale
2,9,3,2,1971,3,4,4,1912,North,2 out of 10,Undri,New,1,Park,Freehold,2023-01-09,258201,131,Burton LLC,Yes,Under Construction,9,Row House,Sale
2,6,1,1,596,0,1,1,527,North,Ground,Kharadi,New,2,Main Road,Leasehold,2021-05-29,45892,77,"Ferguson, Valenzuela and Welch",No,Under Construction,9,Apartment,Sale
2,2,3,1,834,1,2,2,769,North,1 out of 5,Wagholi,Old,3,Garden,Freehold,2020-03-03,99246,119,Hoffman LLC,Yes,Under Construction,8,Villa,Sale
1,5,2,0,1076,0,1,1,1044,West,1 out of 5,Dhomkeel,New,2,Main Road,Freehold,2022-08-20,114056,106,Davis PLC,No,Under Construction,3,Villa,Rent
2,10,2,2,1102,0,2,2,1054,North,5 out of 12,Bhekrai Nagar,Old,3,Main Road,Leasehold,2023-12-28,106894,97,Nelson LLC,Yes,Under Construction,12,Row House,Sale
0,6,2,0,1135,0,1,1,1086,North,Ground,Undri,Old,1,Main Road,Freehold,2021-03-30,69235,61,Santana-Baldwin,No,Under Construction,8,Row House,Sale
0,8,1,2,777,0,1,1,679,West,1 out of 5,NIBM,Old,2,Garden,Leasehold,2023-06-12,95571,123,Mason-Adams,Yes,Under Construction,11,Villa,Sale
1,4,3,2,1894,0,4,4,1855,North,2 out of 10,Dhomkeel,New,3,Main Road,Freehold,2023-07-20,251902,133,"Trujillo, Lewis and Hanson",Yes,Under Construction,8,Villa,Rent
1,8,3,0,584,3,1,1,553,South,2 out of 10,Wagholi,New,1,Main Road,Freehold,2020-05-19,61904,106,"Valdez, Lewis and Terry",No,Under Construction,11,Row House,Sale
0,7,3,1,470,1,1,1,427,East,Ground,Manjari,Old,1,Park,Freehold,2020-04-25,33840,72,Tucker PLC,No,Ready to Move,8,Villa,Sale
0,1,5,0,1293,3,1,1,1270,North,Ground,NIBM,Old,1,Park,Leasehold,2024-08-17,177141,137,Pratt-Jackson,No,Ready to Move,1,Villa,Sale
1,9,1,0,1341,0,1,1,1251,West,5 out of 12,Kondhwa,Old,1,Garden,Leasehold,2020-05-10,136782,102,"Austin, Rocha and Steele",Yes,Ready to Move,7,Apartment,Rent
2,1,2,0,1753,3,2,2,1702,East,2 out of 10,Dhomkeel,New,3,Garden,Leasehold,2025-02-03,205101,117,Williams-Wilson,No,Under Construction,7,Villa,Rent
0,7,4,0,659,3,3,3,601,East,2 out of 10,Hadapsar,New,2,Garden,Leasehold,2023-04-06,40858,62,Miller LLC,Yes,Ready to Move,5,Row House,Rent
1,4,4,2,573,0,1,1,487,South,1 out of 5,Bhekrai Nagar,Old,2,Park,Leasehold,2020-03-15,72771,127,"Ware, Villanueva and Rowland",Yes,Ready to Move,7,Apartment,Sale
2,6,2,2,985,2,2,2,964,South,Ground,Hadapsar,New,1,Main Road,Leasehold,2024-10-11,147750,150,Scott Group,Yes,Under Construction,2,Villa,Sale
1,5,4,2,950,0,1,1,918,West,2 out of 10,Hadapsar,Old,2,Garden,Freehold,2023-03-22,100700,106,Horton LLC,Yes,Under Construction,8,Row House,Sale
0,10,1,2,1634,1,3,3,1614,South,1 out of 5,Undri,Old,1,Main Road,Freehold,2021-08-14,220590,135,Smith-Herring,Yes,Under Construction,2,Row House,Rent
2,5,1,2,1090,2,4,4,1036,West,2 out of 10,Kondhwa,New,3,Garden,Freehold,2024-05-30,89380,82,Hammond-Young,Yes,Ready to Move,3,Row House,Sale
2,2,4,1,1775,0,2,2,1696,West,5 out of 12,Wagholi,Old,3,Main Road,Freehold,2024-03-12,248500,140,Gill and Sons,No,Under Construction,5,Apartment,Sale
2,8,2,1,962,3,3,3,870,West,Ground,Wagholi,Old,1,Garden,Leasehold,2020-04-13,132756,138,"Aguilar, Baker and Roy",No,Ready to Move,10,Villa,Sale
1,5,4,2,1284,3,2,2,1256,West,1 out of 5,Alandi,Old,2,Main Road,Freehold,2021-05-05,154080,120,Gallagher-Fields,Yes,Under Construction,4,Villa,Rent
0,8,1,0,681,2,1,1,586,West,5 out of 12,Manjari,New,3,Garden,Freehold,2025-02-06,68100,100,"Malone, Smith and Mercado",Yes,Ready to Move,10,Row House,Sale
0,6,4,2,460,3,2,2,364,North,5 out of 12,Dhomkeel,New,3,Main Road,Freehold,2024-07-29,30820,67,Watts-Mitchell,Yes,Ready to Move,4,Apartment,Sale
0,9,1,1,1229,1,3,3,1155,West,1 out of 5,Kondhwa,New,3,Main Road,Freehold,2024-05-27,98320,80,Butler-Long,Yes,Ready to Move,10,Row House,Sale
0,5,4,2,1548,3,3,3,1492,North,Ground,Hadapsar,Old,1,Main Road,Leasehold,2020-05-24,171828,111,Larsen PLC,Yes,Under Construction,2,Apartment,Rent
2,8,3,1,1676,3,3,3,1655,East,2 out of 10,Viman Nagar,New,3,Main Road,Freehold,2022-01-18,110616,66,Kirk-Salinas,Yes,Ready to Move,3,Row House,Rent
1,1,5,2,1163,0,4,4,1093,West,2 out of 10,Magarpatta,Old,1,Main Road,Leasehold,2021-10-09,154679,133,Sweeney-Chan,Yes,Under Construction,8,Row House,Rent
1,5,3,1,465,2,4,4,426,West,2 out of 10,Magarpatta,Old,1,Main Road,Leasehold,2020-03-10,66960,144,Chapman-Cole,No,Ready to Move,8,Villa,Sale
2,8,2,0,1713,2,4,4,1637,East,2 out of 10,Viman Nagar,New,2,Park,Freehold,2020-04-06,106206,62,Shah-Carson,No,Ready to Move,4,Villa,Sale
0,8,1,0,1162,2,4,4,1085,East,Ground,Undri,Old,1,Main Road,Leasehold,2020-11-24,148736,128,Hebert-King,Yes,Ready to Move,10,Villa,Sale
1,8,2,0,1905,1,1,1,1835,West,5 out of 12,Magarpatta,New,3,Park,Leasehold,2021-09-18,123825,65,Scott-Hill,No,Ready to Move,11,Apartment,Rent
2,0,4,2,1561,1,2,2,1513,North,5 out of 12,Kondhwa,New,3,Park,Leasehold,2022-07-09,121758,78,"Hartman, Miller and Perkins",No,Under Construction,9,Villa,Rent
2,6,2,2,1114,3,1,1,1047,North,2 out of 10,Manjari,New,1,Park,Leasehold,2023-12-07,102488,92,Graham Inc,Yes,Ready to Move,9,Villa,Rent
1,9,4,1,1621,0,1,1,1525,North,Ground,Wagholi,Old,3,Park,Freehold,2020-02-20,205867,127,Davis-Davis,Yes,Under Construction,2,Villa,Sale
2,3,1,1,1902,0,1,1,1859,East,5 out of 12,Undri,Old,2,Park,Freehold,2023-01-03,188298,99,"Stone, Burke and Gomez",No,Ready to Move,9,Villa,Sale
2,5,1,2,1807,2,1,1,1714,South,Ground,Wagholi,New,2,Garden,Freehold,2024-03-16,128297,71,"Miller, Brooks and Williams",No,Under Construction,9,Row House,Sale
2,5,4,2,1284,0,1,1,1241,North,2 out of 10,Undri,New,2,Main Road,Freehold,2021-03-04,179760,140,Lopez-Perez,Yes,Under Construction,6,Row House,Sale
0,7,2,1,568,1,3,3,519,North,2 out of 10,Viman Nagar,Old,2,Main Road,Freehold,2022-10-17,32376,57,"Montgomery, Williams and Schneider",No,Ready to Move,10,Apartment,Sale
2,2,1,2,1733,0,1,1,1711,South,1 out of 5,Bhekrai Nagar,Old,1,Garden,Freehold,2024-02-15,135174,78,Ochoa-English,Yes,Ready to Move,4,Apartment,Sale
1,10,3,0,550,2,4,4,479,West,5 out of 12,Kondhwa,Old,2,Park,Leasehold,2020-10-21,73700,134,"Bradshaw, Anderson and Tucker",Yes,Under Construction,8,Villa,Rent
2,8,5,1,1023,3,4,4,946,North,Ground,Magarpatta,Old,1,Garden,Freehold,2024-09-01,108438,106,Young-Cooper,Yes,Ready to Move,8,Villa,Sale
1,1,4,0,1429,2,1,1,1361,North,1 out of 5,Undri,New,1,Main Road,Leasehold,2021-01-08,98601,69,Jones-Hoffman,Yes,Under Construction,9,Apartment,Rent
0,5,4,1,1515,0,1,1,1446,South,2 out of 10,Magarpatta,Old,1,Main Road,Leasehold,2022-05-22,84840,56,Stephenson LLC,No,Under Construction,3,Villa,Sale
2,9,3,0,1858,3,1,1,1805,North,5 out of 12,Dhomkeel,New,1,Garden,Freehold,2020-10-06,107764,58,"Davidson, Richard and Wyatt",Yes,Ready to Move,9,Apartment,Sale
2,8,2,1,1495,2,4,4,1401,North,5 out of 12,Kharadi,New,1,Main Road,Leasehold,2020-07-07,121095,81,Stephenson-Snyder,Yes,Under Construction,3,Row House,Sale
1,0,1,2,1972,1,1,1,1896,East,5 out of 12,Kharadi,Old,1,Main Road,Leasehold,2024-02-20,138040,70,"Horne, Porter and Hall",Yes,Ready to Move,10,Row House,Rent
0,1,4,0,832,1,3,3,790,West,2 out of 10,Bhekrai Nagar,Old,3,Garden,Leasehold,2023-11-13,100672,121,Jackson-Mcguire,No,Ready to Move,7,Apartment,Rent
0,7,3,0,747,0,3,3,705,West,2 out of 10,Alandi,Old,1,Garden,Freehold,2020-05-23,62001,83,"Jordan, Morales and Hensley",No,Under Construction,5,Apartment,Rent
0,3,5,0,1701,1,3,3,1605,East,1 out of 5,Manjari,Old,3,Park,Leasehold,2022-11-23,190512,112,"Martin, Chandler and White",No,Under Construction,8,Apartment,Sale
2,10,4,0,1438,1,2,2,1398,East,2 out of 10,Hadapsar,New,1,Main Road,Freehold,2025-02-22,83404,58,Velasquez and Sons,No,Under Construction,7,Row House,Rent
0,0,2,2,1785,3,3,3,1690,West,2 out of 10,Viman Nagar,Old,3,Main Road,Freehold,2023-09-15,246330,138,Jones-Trujillo,Yes,Ready to Move,11,Apartment,Sale
2,6,2,0,1679,2,3,3,1641,West,5 out of 12,Manjari,Old,2,Garden,Freehold,2021-04-02,250171,149,Hernandez Inc,No,Under Construction,8,Apartment,Sale
2,2,1,0,1612,1,3,3,1588,North,1 out of 5,NIBM,New,3,Garden,Freehold,2022-04-12,120900,75,Garza PLC,No,Under Construction,8,Villa,Sale
0,1,1,0,1972,3,4,4,1902,West,1 out of 5,Viman Nagar,New,3,Main Road,Freehold,2021-02-21,187340,95,"Lynch, Hernandez and Valencia",Yes,Ready to Move,9,Row House,Rent
0,9,4,2,733,0,4,4,706,West,Ground,NIBM,Old,2,Main Road,Freehold,2020-09-30,64504,88,Higgins-Elliott,Yes,Under Construction,1,Villa,Rent
2,0,4,1,1195,0,4,4,1111,South,5 out of 12,Manjari,Old,2,Park,Freehold,2020-03-09,138620,116,Huerta-Mejia,No,Ready to Move,9,Apartment,Rent
2,7,4,2,613,3,4,4,522,North,1 out of 5,Manjari,Old,2,Main Road,Leasehold,2022-03-30,58235,95,Craig-Oliver,Yes,Ready to Move,9,Apartment,Rent
1,7,4,1,1885,1,2,2,1834,West,2 out of 10,Hadapsar,New,3,Main Road,Freehold,2023-08-16,184730,98,Flynn Ltd,No,Ready to Move,9,Villa,Sale
2,8,5,0,1529,3,1,1,1480,West,Ground,Dhomkeel,Old,3,Park,Leasehold,2023-05-23,166661,109,Brown Ltd,No,Under Construction,5,Row House,Rent
2,4,1,1,1014,0,1,1,954,South,2 out of 10,Hadapsar,New,2,Garden,Freehold,2023-01-15,113568,112,"Sullivan, Wilson and Pineda",No,Under Construction,10,Row House,Sale
0,0,5,1,771,2,1,1,676,West,5 out of 12,Magarpatta,New,2,Main Road,Freehold,2024-08-18,95604,124,Phelps PLC,No,Under Construction,10,Apartment,Sale
2,9,3,0,753,3,3,3,730,West,5 out of 12,Bhekrai Nagar,Old,1,Park,Leasehold,2023-03-01,96384,128,"Hill, Huber and Roberts",No,Under Construction,5,Row House,Sale
0,8,4,1,1854,1,4,4,1807,South,2 out of 10,Manjari,New,2,Park,Leasehold,2020-11-19,216918,117,Morgan LLC,Yes,Ready to Move,12,Villa,Sale
1,2,1,2,1948,1,3,3,1920,North,2 out of 10,Hadapsar,Old,2,Garden,Freehold,2022-12-17,237656,122,Joseph PLC,Yes,Under Construction,7,Apartment,Rent
0,7,5,1,1105,2,1,1,1016,West,Ground,Kharadi,New,2,Garden,Freehold,2023-10-17,88400,80,Le-Morris,No,Under Construction,3,Apartment,Rent
0,4,3,0,451,2,4,4,398,North,5 out of 12,Kondhwa,New,1,Garden,Leasehold,2025-03-17,56375,125,Hendrix-West,No,Under Construction,4,Row House,Rent
1,5,4,2,1008,1,3,3,966,North,2 out of 10,Manjari,New,1,Main Road,Leasehold,2021-09-26,55440,55,Austin-Miranda,Yes,Ready to Move,9,Apartment,Rent
1,6,3,1,1104,2,4,4,1014,North,5 out of 12,Kondhwa,New,2,Main Road,Leasehold,2024-04-13,165600,150,"Cole, Adams and Jackson",Yes,Under Construction,2,Apartment,Sale
2,1,5,1,691,3,3,3,666,West,1 out of 5,Kondhwa,Old,3,Garden,Leasehold,2020-09-11,54589,79,"Marks, Allen and Sandoval",Yes,Ready to Move,5,Villa,Sale
2,3,1,1,1637,0,3,3,1615,East,5 out of 12,Dhomkeel,New,2,Main Road,Freehold,2024-12-10,188255,115,"Hansen, Wilson and Decker",Yes,Ready to Move,3,Apartment,Rent
2,9,3,0,916,1,2,2,853,North,2 out of 10,NIBM,New,1,Garden,Freehold,2025-02-22,120912,132,Robinson Ltd,No,Under Construction,1,Villa,Sale
2,1,3,0,1449,3,4,4,1349,West,5 out of 12,Viman Nagar,New,3,Garden,Freehold,2020-06-25,89838,62,"Huynh, Anderson and Glenn",Yes,Ready to Move,8,Apartment,Rent
1,4,3,0,1010,0,2,2,975,South,5 out of 12,NIBM,Old,1,Park,Freehold,2023-01-22,128270,127,David Ltd,Yes,Ready to Move,5,Villa,Sale
0,6,3,0,909,2,1,1,870,East,Ground,Alandi,New,2,Garden,Leasehold,2023-01-26,64539,71,Parsons-Page,Yes,Under Construction,2,Apartment,Sale
1,4,5,2,1928,1,2,2,1869,South,5 out of 12,Viman Nagar,Old,2,Garden,Leasehold,2021-09-01,102184,53,Chan-Price,Yes,Under Construction,7,Apartment,Sale
0,10,5,1,1725,0,4,4,1644,South,Ground,Kondhwa,Old,3,Main Road,Freehold,2020-01-13,213900,124,"Le, Patel and Mann",Yes,Under Construction,6,Villa,Sale
0,2,2,0,1373,3,1,1,1334,South,2 out of 10,Hadapsar,Old,2,Garden,Leasehold,2023-02-20,201831,147,"Davis, Cowan and Young",Yes,Under Construction,12,Apartment,Rent
1,6,1,1,1794,2,2,2,1701,West,Ground,Kharadi,Old,3,Main Road,Freehold,2024-06-10,120198,67,Gill-Wilkins,Yes,Ready to Move,8,Villa,Sale
2,5,2,1,903,0,2,2,812,North,5 out of 12,Wagholi,New,3,Garden,Freehold,2022-08-31,69531,77,Trevino and Sons,No,Under Construction,5,Villa,Sale
0,2,3,0,1760,1,2,2,1660,East,Ground,Alandi,New,3,Park,Freehold,2022-10-02,149600,85,"Curtis, Dorsey and Barker",No,Ready to Move,2,Row House,Sale
2,0,1,0,1056,0,2,2,1029,West,Ground,Alandi,Old,3,Garden,Freehold,2021-12-18,122496,116,Andrade-Hale,No,Ready to Move,6,Villa,Sale
0,10,4,2,1501,1,4,4,1472,South,1 out of 5,Magarpatta,New,2,Garden,Freehold,2023-08-08,157605,105,"Williams, Guerrero and Wright",Yes,Ready to Move,6,Apartment,Rent
1,7,3,0,543,1,3,3,457,East,5 out of 12,Kharadi,Old,2,Main Road,Freehold,2020-06-26,47784,88,Evans-Jones,No,Under Construction,7,Row House,Rent
0,7,3,0,607,0,3,3,511,North,1 out of 5,Alandi,New,2,Garden,Leasehold,2020-01-15,72233,119,Collins-Gray,Yes,Under Construction,7,Villa,Sale
0,10,3,1,1897,2,3,3,1830,East,2 out of 10,Dhomkeel,Old,1,Garden,Freehold,2022-02-14,197288,104,"Gray, Johnson and Terry",Yes,Under Construction,3,Apartment,Rent
0,4,3,2,552,2,4,4,467,East,5 out of 12,NIBM,Old,2,Park,Leasehold,2022-05-12,82248,149,Bond Ltd,Yes,Under Construction,3,Apartment,Rent
2,4,3,2,598,3,3,3,541,South,Ground,Kondhwa,New,3,Garden,Leasehold,2022-01-07,33488,56,"Alvarez, Morton and Preston",Yes,Ready to Move,4,Apartment,Rent
0,1,2,1,1144,1,2,2,1103,North,5 out of 12,Hadapsar,Old,1,Park,Leasehold,2025-01-06,125840,110,Colon Ltd,Yes,Under Construction,2,Row House,Rent
1,3,3,2,1201,2,1,1,1163,North,1 out of 5,NIBM,New,2,Park,Leasehold,2025-01-26,63653,53,Wood-Singh,No,Under Construction,6,Apartment,Sale
2,6,4,0,845,3,3,3,817,East,5 out of 12,Alandi,Old,2,Park,Leasehold,2022-12-09,77740,92,"Johnson, Erickson and Patton",Yes,Under Construction,9,Villa,Sale
2,8,4,0,584,1,4,4,555,West,5 out of 12,Hadapsar,Old,3,Main Road,Leasehold,2021-08-28,83512,143,Garcia-King,No,Ready to Move,5,Villa,Sale
0,6,4,1,1954,3,2,2,1877,West,2 out of 10,Bhekrai Nagar,New,2,Main Road,Freehold,2023-03-16,287238,147,Cook Ltd,No,Ready to Move,12,Apartment,Sale
2,1,4,2,639,1,3,3,595,East,5 out of 12,Kondhwa,New,3,Garden,Freehold,2022-09-26,84987,133,Trevino-Scott,No,Ready to Move,1,Villa,Rent
1,1,5,1,488,3,1,1,430,East,2 out of 10,Magarpatta,New,1,Park,Freehold,2021-01-16,69296,142,Carter-Greene,No,Ready to Move,3,Villa,Sale
2,5,1,0,491,0,3,3,412,North,1 out of 5,NIBM,New,1,Garden,Leasehold,2024-06-23,44681,91,Lewis-Harris,Yes,Under Construction,7,Villa,Rent
2,7,4,2,536,2,1,1,505,East,Ground,Alandi,Old,2,Garden,Leasehold,2023-02-21,72360,135,Donovan Group,Yes,Ready to Move,7,Villa,Sale
1,10,1,0,991,0,4,4,961,East,1 out of 5,Alandi,Old,3,Park,Leasehold,2024-02-09,80271,81,Miller Inc,Yes,Under Construction,6,Villa,Rent
2,4,2,0,937,0,3,3,857,East,Ground,Bhekrai Nagar,New,2,Main Road,Leasehold,2020-06-05,50598,54,Smith and Sons,No,Ready to Move,9,Villa,Rent
2,8,3,1,1397,2,4,4,1313,South,5 out of 12,Hadapsar,Old,1,Park,Freehold,2024-04-30,132715,95,Mack LLC,Yes,Under Construction,7,Villa,Rent
0,0,3,2,513,3,4,4,486,West,2 out of 10,Alandi,Old,3,Park,Leasehold,2022-10-30,62586,122,Carter Group,Yes,Ready to Move,6,Row House,Sale
1,10,5,2,954,0,3,3,901,East,Ground,Dhomkeel,New,3,Main Road,Freehold,2020-08-19,114480,120,Fry and Sons,No,Ready to Move,2,Apartment,Sale
0,5,3,0,840,1,3,3,746,West,Ground,Alandi,Old,3,Main Road,Freehold,2021-07-04,93240,111,"Johnson, Sanchez and Ramos",Yes,Ready to Move,6,Row House,Rent
1,10,2,1,593,3,1,1,564,South,Ground,Viman Nagar,New,3,Main Road,Leasehold,2020-12-18,81241,137,Wilkerson-Gutierrez,No,Ready to Move,4,Row House,Rent
2,2,5,0,1414,3,3,3,1376,North,1 out of 5,NIBM,Old,3,Park,Freehold,2022-03-08,141400,100,Cox-Palmer,No,Under Construction,6,Row House,Rent
0,5,3,0,1717,3,4,4,1689,East,5 out of 12,NIBM,New,1,Garden,Freehold,2024-10-06,125341,73,Spencer-Terry,Yes,Ready to Move,7,Apartment,Sale
1,4,2,1,1605,2,2,2,1508,South,1 out of 5,Undri,Old,1,Park,Leasehold,2024-07-17,221490,138,"Barker, Clark and Boyd",Yes,Ready to Move,3,Row House,Sale
2,3,1,0,1477,1,1,1,1404,West,5 out of 12,Alandi,Old,1,Park,Leasehold,2023-02-26,194964,132,Young-Owen,Yes,Ready to Move,3,Apartment,Sale
1,1,3,1,1105,3,2,2,1021,North,5 out of 12,Dhomkeel,New,3,Garden,Freehold,2023-07-11,120445,109,"Green, Alexander and Zimmerman",Yes,Under Construction,12,Villa,Rent
1,7,4,0,1798,1,2,2,1744,North,1 out of 5,Undri,Old,1,Park,Leasehold,2023-08-16,102486,57,"Mahoney, Rios and Williams",No,Ready to Move,12,Apartment,Rent
0,9,1,2,1471,0,3,3,1411,East,1 out of 5,Kharadi,Old,3,Garden,Freehold,2023-03-31,185346,126,Carroll-Armstrong,Yes,Under Construction,8,Apartment,Rent
2,10,3,0,1974,3,4,4,1931,East,5 out of 12,Kharadi,New,3,Park,Leasehold,2023-05-27,122388,62,Deleon-Macdonald,No,Under Construction,2,Row House,Sale
1,5,4,2,837,1,2,2,815,South,5 out of 12,Hadapsar,Old,3,Garden,Leasehold,2022-07-19,55242,66,Robinson-Snyder,Yes,Ready to Move,1,Apartment,Sale
2,1,5,2,1694,0,4,4,1609,East,5 out of 12,NIBM,New,1,Main Road,Freehold,2022-05-29,176176,104,Smith-Johns,No,Under Construction,12,Villa,Rent
2,0,5,0,656,2,4,4,607,East,2 out of 10,Kondhwa,Old,2,Main Road,Freehold,2024-06-02,95776,146,Ray Ltd,No,Under Construction,2,Apartment,Rent
2,5,5,2,835,1,4,4,753,South,5 out of 12,Viman Nagar,Old,2,Park,Leasehold,2023-07-16,96025,115,"Castillo, Myers and Munoz",No,Ready to Move,8,Villa,Sale
